sku_id,product_name,category,subcategory,brand,cost_price_idr,selling_price_idr,launch_date,is_active,weight_gram
MCO-SH-001,Slim-Fit Oxford Shirts — Black,Apparel,Shirts,MCC Standard,134000,320000,2021-11-09,True,997
MCO-SH-002,Classic Linen Shirts — White,Apparel,Shirts,MCC Standard,165000,395000,2021-02-21,True,279
MCO-SH-003,Relaxed Poplin Shirts — Navy,Apparel,Shirts,MCC Basic,98000,215000,2022-10-30,True,1601
MCO-SH-004,Oversized Flannel Shirts — Ivory,Apparel,Shirts,MCC Premium,222000,600000,2023-01-24,True,1034
MCO-SH-005,Striped Button-Down Shirts — Camel,Apparel,Shirts,MCC Standard,58000,140000,2023-04-30,True,1736
MCO-SH-006,Printed Batik Shirts — Sage,Apparel,Shirts,MCC Basic,89000,195000,2022-03-06,True,1020
MCO-SH-007,Solid Jersey Shirts — Dusty Rose,Apparel,Shirts,MCC Premium,62000,170000,2022-03-17,True,1962
MCO-SH-008,Woven Check Shirts — Cognac,Apparel,Shirts,MCC Basic,25000,55000,2021-05-15,True,1419
MCO-SH-009,Mandarin Collar Shirts — Emerald,Apparel,Shirts,MCC Standard,140000,335000,2021-08-08,True,223
MCO-SH-010,Cropped Tie-Front Shirts — Terracotta,Apparel,Shirts,MCC Basic,121000,265000,2022-07-30,True,1730
MCO-SH-011,Slim-Fit Oxford Shirts — Cobalt,Apparel,Shirts,MCC Premium,127000,345000,2021-12-10,True,1135
MCO-SH-012,Classic Linen Shirts — Stone,Apparel,Shirts,MCC Premium,53000,145000,2022-10-10,True,1528
MCO-SH-013,Relaxed Poplin Shirts — Burgundy,Apparel,Shirts,MCC Standard,88000,210000,2023-06-14,True,951
MCO-SH-014,Oversized Flannel Shirts — Olive,Apparel,Shirts,MCC Standard,81000,195000,2020-10-06,True,1075
MCO-SH-015,Striped Button-Down Shirts — Blush,Apparel,Shirts,MCC Premium,148000,400000,2020-12-04,True,1535
MCO-SH-016,Printed Batik Shirts — Mocha,Apparel,Shirts,MCC Premium,151000,410000,2022-03-27,True,1500
MCO-SH-017,Solid Jersey Shirts — Black,Apparel,Shirts,MCC Standard,56000,135000,2023-01-16,True,1415
MCO-SH-018,Woven Check Shirts — White,Apparel,Shirts,MCC Standard,140000,335000,2022-11-06,True,1844
MCO-SH-019,Mandarin Collar Shirts — Navy,Apparel,Shirts,MCC Basic,110000,240000,2021-09-14,True,1983
MCO-SH-020,Cropped Tie-Front Shirts — Ivory,Apparel,Shirts,MCC Standard,75000,180000,2022-06-15,True,376
MCO-SH-021,Slim-Fit Oxford Shirts — Camel,Apparel,Shirts,MCC Premium,227000,615000,2020-07-23,True,1769
MCO-SH-022,Classic Linen Shirts — Sage,Apparel,Shirts,MCC Standard,155000,370000,2021-12-15,True,1574
MCO-SH-023,Relaxed Poplin Shirts — Dusty Rose,Apparel,Shirts,MCC Basic,78000,170000,2021-12-01,True,1151
